hour,day,location,weather,road_condition,vehicle_type,accident,special_event,congestion
10,Sat,School-Zone,Foggy,Good,Bus,1,0,1
19,Fri,Office-Area,Foggy,Good,Truck,0,0,1
19,Sun,Highway,Foggy,Bad,Bus,1,1,1
22,Fri,Residential,Rainy,Bad,Bike,0,1,0
15,Thu,Market,Rainy,Good,Truck,1,1,0
19,Fri,Highway,Rainy,Good,Truck,1,1,1
4,Wed,Highway,Foggy,Good,Truck,1,1,1
11,Sat,Market,Clear,Bad,Bike,1,0,1
9,Sat,Highway,Foggy,Bad,Truck,1,1,1
7,Mon,Market,Foggy,Good,Truck,1,0,0
22,Sun,School-Zone,Foggy,Bad,Bus,1,1,0
0,Sat,Highway,Foggy,Good,Truck,1,1,0
18,Sat,Residential,Clear,Bad,Car,1,1,0
22,Sat,Residential,Rainy,Good,Truck,0,0,0
19,Sun,Market,Rainy,Good,Truck,1,0,1
19,Sun,Market,Rainy,Bad,Truck,0,1,0
11,Wed,Residential,Rainy,Bad,Car,1,0,0
13,Sat,Residential,Foggy,Bad,Truck,0,0,0
21,Tue,Office-Area,Foggy,Good,Bike,1,0,1
10,Mon,School-Zone,Clear,Bad,Bus,0,1,0
1,Sat,School-Zone,Clear,Good,Truck,1,0,0
22,Tue,School-Zone,Rainy,Good,Bike,0,0,1
13,Fri,Office-Area,Rainy,Good,Bus,0,1,1
7,Thu,Highway,Foggy,Good,Car,1,0,1
10,Sun,Market,Clear,Good,Truck,1,0,1
9,Tue,Office-Area,Foggy,Bad,Bike,0,1,1
15,Thu,Market,Rainy,Bad,Bike,0,1,1
6,Sat,Market,Clear,Bad,Truck,1,0,0
4,Mon,Residential,Clear,Bad,Car,1,1,1
15,Wed,School-Zone,Rainy,Bad,Bike,1,0,1
8,Sat,Office-Area,Rainy,Good,Car,0,1,1
7,Sun,Residential,Foggy,Bad,Bus,0,0,0
22,Mon,Residential,Rainy,Bad,Bike,1,0,0
9,Sat,Market,Clear,Bad,Car,0,0,0
16,Sat,Highway,Foggy,Bad,Truck,0,0,1
12,Sat,Highway,Rainy,Bad,Bike,0,1,0
4,Mon,Residential,Clear,Good,Car,1,1,0
11,Fri,Residential,Rainy,Bad,Bus,0,0,1
13,Thu,Highway,Clear,Good,Bus,1,0,1
17,Thu,Office-Area,Foggy,Bad,Car,0,0,1
1,Thu,Highway,Foggy,Good,Bus,1,0,1
0,Mon,Residential,Rainy,Bad,Bike,1,1,0
23,Thu,Residential,Foggy,Good,Bus,1,0,0
13,Tue,Market,Clear,Good,Bus,0,1,1
